api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
com.google.ar.core.CameraConfigFilter->nativeGetStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getStereoCameraUsage,1,com.google.ar.core.CameraConfigFilter->getStereoCameraUsage -> com.google.ar.core.CameraConfigFilter->nativeGetStereoCameraUsage,1
com.google.ar.core.CameraConfigFilter->nativeGetTargetFps,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getTargetFps,1,com.google.ar.core.CameraConfigFilter->getTargetFps -> com.google.ar.core.CameraConfigFilter->nativeGetTargetFps,1
com.google.ar.core.CameraConfigFilter->nativeSetDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setDepthSensorUsage,1,com.google.ar.core.CameraConfigFilter->setDepthSensorUsage -> com.google.ar.core.CameraConfigFilter->nativeSetDepthSensorUsage,1
com.google.ar.core.CameraConfigFilter->nativeSetFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setFacingDirection,1,com.google.ar.core.CameraConfigFilter->setFacingDirection -> com.google.ar.core.CameraConfigFilter->nativeSetFacingDirection,1
com.google.ar.core.CameraConfigFilter->nativeSetStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setStereoCameraUsage,1,com.google.ar.core.CameraConfigFilter->setStereoCameraUsage -> com.google.ar.core.CameraConfigFilter->nativeSetStereoCameraUsage,1
com.google.ar.core.CameraConfigFilter->nativeSetTargetFps,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setTargetFps,1,com.google.ar.core.CameraConfigFilter->setTargetFps -> com.google.ar.core.CameraConfigFilter->nativeSetTargetFps,1
com.google.ar.core.CameraConfigFilter->finalize,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,finalize,0,com.google.ar.core.CameraConfigFilter->finalize,0
com.google.ar.core.CameraConfigFilter->getDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getDepthSensorUsage,0,com.google.ar.core.CameraConfigFilter->getDepthSensorUsage,0
com.google.ar.core.CameraConfigFilter->getFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getFacingDirection,0,com.google.ar.core.CameraConfigFilter->getFacingDirection,0
com.google.ar.core.CameraConfigFilter->getStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getStereoCameraUsage,0,com.google.ar.core.CameraConfigFilter->getStereoCameraUsage,0
com.google.ar.core.CameraConfigFilter->getTargetFps,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getTargetFps,0,com.google.ar.core.CameraConfigFilter->getTargetFps,0
com.google.ar.core.CameraConfigFilter->setDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setDepthSensorUsage,0,com.google.ar.core.CameraConfigFilter->setDepthSensorUsage,0
com.google.ar.core.CameraConfigFilter->setFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setFacingDirection,0,com.google.ar.core.CameraConfigFilter->setFacingDirection,0
com.google.ar.core.CameraConfigFilter->setStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setStereoCameraUsage,0,com.google.ar.core.CameraConfigFilter->setStereoCameraUsage,0
com.google.ar.core.CameraConfigFilter->setTargetFps,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,setTargetFps,0,com.google.ar.core.CameraConfigFilter->setTargetFps,0
com.google.ar.core.CameraIntrinsics-><init>,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getImageIntrinsics,1,com.google.ar.core.Camera->getImageIntrinsics -> com.google.ar.core.CameraIntrinsics-><init>,1
com.google.ar.core.CameraIntrinsics->nativeDestroyCameraIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.CameraIntrinsics,finalize,1,com.google.ar.core.CameraIntrinsics->finalize -> com.google.ar.core.CameraIntrinsics->nativeDestroyCameraIntrinsics,1
com.google.ar.core.CameraIntrinsics->finalize,Camera,Camera,API,Feasible,com.google.ar.core.CameraIntrinsics,finalize,0,com.google.ar.core.CameraIntrinsics->finalize,0
com.google.ar.core.Earth->nativeGetCameraGeospatialPose,Camera,Camera,API,Feasible,com.google.ar.core.Earth,getCameraGeospatialPose,1,com.google.ar.core.Earth->getCameraGeospatialPose -> com.google.ar.core.Earth->nativeGetCameraGeospatialPose,1
com.google.ar.core.Earth->getCameraGeospatialPose,Camera,Camera,API,Feasible,com.google.ar.core.Earth,getCameraGeospatialPose,0,com.google.ar.core.Earth->getCameraGeospatialPose,0
com.google.ar.core.Frame->nativeAcquireCameraImage,Camera,Camera,API,Feasible,com.google.ar.core.Frame,acquireCameraImage,1,com.google.ar.core.Frame->acquireCameraImage -> com.google.ar.core.Frame->nativeAcquireCameraImage,1
com.google.ar.core.Frame->nativeGetAndroidCameraTimestamp,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getAndroidCameraTimestamp,1,com.google.ar.core.Frame->getAndroidCameraTimestamp -> com.google.ar.core.Frame->nativeGetAndroidCameraTimestamp,1
com.google.ar.core.Frame->nativeGetCameraTextureName,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getCameraTextureName,1,com.google.ar.core.Frame->getCameraTextureName -> com.google.ar.core.Frame->nativeGetCameraTextureName,1
com.google.ar.core.Frame->acquireCameraImage,Camera,Camera,API,Feasible,com.google.ar.core.Frame,acquireCameraImage,0,com.google.ar.core.Frame->acquireCameraImage,0
com.google.ar.core.Frame->getAndroidCameraTimestamp,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getAndroidCameraTimestamp,0,com.google.ar.core.Frame->getAndroidCameraTimestamp,0
com.google.ar.core.Frame->getCamera,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getCamera,0,com.google.ar.core.Frame->getCamera,0
com.google.ar.core.Frame->getCameraTextureName,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getCameraTextureName,0,com.google.ar.core.Frame->getCameraTextureName,0
com.google.ar.core.RecordingConfig->nativeGetMp4DatasetUri,URI,URI,API,Feasible,com.google.ar.core.RecordingConfig,getMp4DatasetUri,1,com.google.ar.core.RecordingConfig->getMp4DatasetUri -> com.google.ar.core.RecordingConfig->nativeGetMp4DatasetUri,1
com.google.ar.core.RecordingConfig->nativeSetMp4DatasetUri,URI,URI,API,Feasible,com.google.ar.core.RecordingConfig,setMp4DatasetUri,1,com.google.ar.core.RecordingConfig->setMp4DatasetUri -> com.google.ar.core.RecordingConfig->nativeSetMp4DatasetUri,1
com.google.ar.core.RecordingConfig->getMp4DatasetUri,URI,URI,API,Feasible,com.google.ar.core.RecordingConfig,getMp4DatasetUri,0,com.google.ar.core.RecordingConfig->getMp4DatasetUri,0
com.google.ar.core.RecordingConfig->setMp4DatasetUri,URI,URI,API,Feasible,com.google.ar.core.RecordingConfig,setMp4DatasetUri,0,com.google.ar.core.RecordingConfig->setMp4DatasetUri,0
com.google.ar.core.Session->createForSharedCamera,Camera,Camera,API,Feasible,com.google.ar.core.Session,createForSharedCamera,0,com.google.ar.core.Session->createForSharedCamera,0
com.google.ar.core.Session->nativeGetCameraConfig,Camera,Camera,API,Feasible,com.google.ar.core.Session,getCameraConfig,1,com.google.ar.core.Session->getCameraConfig -> com.google.ar.core.Session->nativeGetCameraConfig,1
com.google.ar.core.Session->nativeGetSupportedCameraConfigs,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSupportedCameraConfigs,1,com.google.ar.core.Session->getSupportedCameraConfigs -> com.google.ar.core.Session->nativeGetSupportedCameraConfigs,1
com.google.ar.core.Session->nativeGetSupportedCameraConfigsWithFilter,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSupportedCameraConfigs,1,com.google.ar.core.Session->getSupportedCameraConfigs -> com.google.ar.core.Session->nativeGetSupportedCameraConfigsWithFilter,1
com.google.ar.core.Session->nativeSetCameraConfig,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraConfig,1,com.google.ar.core.Session->setCameraConfig -> com.google.ar.core.Session->nativeSetCameraConfig,1
com.google.ar.core.Session->nativeSetCameraTextureName,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraTextureName,1,com.google.ar.core.Session->setCameraTextureName -> com.google.ar.core.Session->nativeSetCameraTextureName,1
com.google.ar.core.Session->nativeSetCameraTextureNames,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraTextureNames,1,com.google.ar.core.Session->setCameraTextureNames -> com.google.ar.core.Session->nativeSetCameraTextureNames,1
com.google.ar.core.Session->nativeSetPlaybackDatasetUri,URI,URI,API,Feasible,com.google.ar.core.Session,setPlaybackDatasetUri,1,com.google.ar.core.Session->setPlaybackDatasetUri -> com.google.ar.core.Session->nativeSetPlaybackDatasetUri,1
com.google.ar.core.Session->pauseSharedCameraIfInUse,Camera,Camera,API,Feasible,com.google.ar.core.Session,pause,1,com.google.ar.core.Session->pause -> com.google.ar.core.Session->pauseSharedCameraIfInUse,1
com.google.ar.core.Session->convertNativeCameraConfigsToCollection,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSupportedCameraConfigs,1,com.google.ar.core.Session->getSupportedCameraConfigs -> com.google.ar.core.Session->convertNativeCameraConfigsToCollection,1
com.google.ar.core.Session->getCameraConfig,Camera,Camera,API,Feasible,com.google.ar.core.Session,getCameraConfig,0,com.google.ar.core.Session->getCameraConfig,0
com.google.ar.core.Session->getSharedCamera,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSharedCamera,0,com.google.ar.core.Session->getSharedCamera,0
com.google.ar.core.Session->getSupportedCameraConfigs,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSupportedCameraConfigs,0,com.google.ar.core.Session->getSupportedCameraConfigs,0
com.google.ar.core.Session->isSharedCameraUsed,Camera,Camera,API,Feasible,com.google.ar.core.Session,isSharedCameraUsed,0,com.google.ar.core.Session->isSharedCameraUsed,0
com.google.ar.core.Session->setCameraConfig,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraConfig,0,com.google.ar.core.Session->setCameraConfig,0
com.google.ar.core.Session->setCameraTextureName,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraTextureName,0,com.google.ar.core.Session->setCameraTextureName,0
com.google.ar.core.Session->setCameraTextureNames,Camera,Camera,API,Feasible,com.google.ar.core.Session,setCameraTextureNames,0,com.google.ar.core.Session->setCameraTextureNames,0
com.google.ar.core.Session->setPlaybackDatasetUri,URI,URI,API,Feasible,com.google.ar.core.Session,setPlaybackDatasetUri,0,com.google.ar.core.Session->setPlaybackDatasetUri,0
com.google.ar.core.SharedCamera-><init>,Camera,Camera,API,Feasible,com.google.ar.core.Session,createForSharedCamera,2,com.google.ar.core.Session->createForSharedCamera -> com.google.ar.core.Session-><init> -> com.google.ar.core.SharedCamera-><init>,2
com.google.ar.core.SharedCamera->a,Camera,Camera,API,Feasible,com.google.ar.core.ap,onImageAvailable,1,com.google.ar.core.ap->onImageAvailable -> com.google.ar.core.SharedCamera->a,1
com.google.ar.core.SharedCamera->close,Camera,Camera,API,Feasible,com.google.ar.core.ak,onError,2,com.google.ar.core.ak->onError -> com.google.ar.core.SharedCamera->b -> com.google.ar.core.SharedCamera->close,2
com.google.ar.core.SharedCamera->getCpuImageReader,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getArCoreSurfaces,1,com.google.ar.core.SharedCamera->getArCoreSurfaces -> com.google.ar.core.SharedCamera->getCpuImageReader,1
com.google.ar.core.SharedCamera->getCpuImageReaderMotionTracking,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getArCoreSurfaces,1,com.google.ar.core.SharedCamera->getArCoreSurfaces -> com.google.ar.core.SharedCamera->getCpuImageReaderMotionTracking,1
com.google.ar.core.SharedCamera->getGpuSurface,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,2,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->m -> com.google.ar.core.SharedCamera->getGpuSurface,2
com.google.ar.core.SharedCamera->getGpuSurfaceTexture,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,2,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->l -> com.google.ar.core.SharedCamera->getGpuSurfaceTexture,2
com.google.ar.core.SharedCamera->lambda$setDummyOnImageAvailableListener$0,Camera,Camera,API,Feasible,com.google.ar.core.ap,onImageAvailable,2,com.google.ar.core.ap->onImageAvailable -> com.google.ar.core.SharedCamera->a -> com.google.ar.core.SharedCamera->lambda$setDummyOnImageAvailableListener$0,2
com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionActive,Camera,Camera,API,Feasible,com.google.ar.core.an,onActive,3,com.google.ar.core.an->onActive -> com.google.ar.core.SharedCamera->g -> com.google.ar.core.SharedCamera->onCaptureSessionActive -> com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionActive,3
com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionClosed,Camera,Camera,API,Feasible,com.google.ar.core.an,onClosed,3,com.google.ar.core.an->onClosed -> com.google.ar.core.SharedCamera->h -> com.google.ar.core.SharedCamera->onCaptureSessionClosed -> com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionClosed,3
com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionConfigureFailed,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigureFailed,3,com.google.ar.core.an->onConfigureFailed -> com.google.ar.core.SharedCamera->i -> com.google.ar.core.SharedCamera->onCaptureSessionConfigureFailed -> com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionConfigureFailed,3
com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionConfigured,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,3,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->j -> com.google.ar.core.SharedCamera->onCaptureSessionConfigured -> com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionConfigured,3
com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionReady,Camera,Camera,API,Feasible,com.google.ar.core.an,onReady,3,com.google.ar.core.an->onReady -> com.google.ar.core.SharedCamera->k -> com.google.ar.core.SharedCamera->onCaptureSessionReady -> com.google.ar.core.SharedCamera->nativeSharedCameraCaptureSessionReady,3
com.google.ar.core.SharedCamera->nativeSharedCameraGetImageReader,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getArCoreSurfaces,2,com.google.ar.core.SharedCamera->getArCoreSurfaces -> com.google.ar.core.SharedCamera->getCpuImageReader -> com.google.ar.core.SharedCamera->nativeSharedCameraGetImageReader,2
com.google.ar.core.SharedCamera->nativeSharedCameraGetImageReaderMotionTracking,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getArCoreSurfaces,2,com.google.ar.core.SharedCamera->getArCoreSurfaces -> com.google.ar.core.SharedCamera->getCpuImageReaderMotionTracking -> com.google.ar.core.SharedCamera->nativeSharedCameraGetImageReaderMotionTracking,2
com.google.ar.core.SharedCamera->nativeSharedCameraGetSurface,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,3,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->m -> com.google.ar.core.SharedCamera->getGpuSurface -> com.google.ar.core.SharedCamera->nativeSharedCameraGetSurface,3
com.google.ar.core.SharedCamera->nativeSharedCameraGetSurfaceTexture,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,3,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->l -> com.google.ar.core.SharedCamera->getGpuSurfaceTexture -> com.google.ar.core.SharedCamera->nativeSharedCameraGetSurfaceTexture,3
com.google.ar.core.SharedCamera->nativeSharedCameraOnClosed,Camera,Camera,API,Feasible,com.google.ar.core.ak,onClosed,3,com.google.ar.core.ak->onClosed -> com.google.ar.core.SharedCamera->e -> com.google.ar.core.SharedCamera->onDeviceClosed -> com.google.ar.core.SharedCamera->nativeSharedCameraOnClosed,3
com.google.ar.core.SharedCamera->nativeSharedCameraOnDisconnected,Camera,Camera,API,Feasible,com.google.ar.core.ak,onDisconnected,3,com.google.ar.core.ak->onDisconnected -> com.google.ar.core.SharedCamera->f -> com.google.ar.core.SharedCamera->onDeviceDisconnected -> com.google.ar.core.SharedCamera->nativeSharedCameraOnDisconnected,3
com.google.ar.core.SharedCamera->nativeSharedCameraOnOpened,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,3,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->d -> com.google.ar.core.SharedCamera->onDeviceOpened -> com.google.ar.core.SharedCamera->nativeSharedCameraOnOpened,3
com.google.ar.core.SharedCamera->nativeSharedCameraSetAppSurfaces,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,setAppSurfaces,1,com.google.ar.core.SharedCamera->setAppSurfaces -> com.google.ar.core.SharedCamera->nativeSharedCameraSetAppSurfaces,1
com.google.ar.core.SharedCamera->nativeSharedCameraSetCaptureCallback,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,setCaptureCallback,1,com.google.ar.core.SharedCamera->setCaptureCallback -> com.google.ar.core.SharedCamera->nativeSharedCameraSetCaptureCallback,1
com.google.ar.core.SharedCamera->onCaptureSessionActive,Camera,Camera,API,Feasible,com.google.ar.core.an,onActive,2,com.google.ar.core.an->onActive -> com.google.ar.core.SharedCamera->g -> com.google.ar.core.SharedCamera->onCaptureSessionActive,2
com.google.ar.core.SharedCamera->onCaptureSessionClosed,Camera,Camera,API,Feasible,com.google.ar.core.an,onClosed,2,com.google.ar.core.an->onClosed -> com.google.ar.core.SharedCamera->h -> com.google.ar.core.SharedCamera->onCaptureSessionClosed,2
com.google.ar.core.SharedCamera->onCaptureSessionConfigureFailed,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigureFailed,2,com.google.ar.core.an->onConfigureFailed -> com.google.ar.core.SharedCamera->i -> com.google.ar.core.SharedCamera->onCaptureSessionConfigureFailed,2
com.google.ar.core.SharedCamera->onCaptureSessionConfigured,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,2,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->j -> com.google.ar.core.SharedCamera->onCaptureSessionConfigured,2
com.google.ar.core.SharedCamera->onCaptureSessionReady,Camera,Camera,API,Feasible,com.google.ar.core.an,onReady,2,com.google.ar.core.an->onReady -> com.google.ar.core.SharedCamera->k -> com.google.ar.core.SharedCamera->onCaptureSessionReady,2
com.google.ar.core.SharedCamera->onDeviceClosed,Camera,Camera,API,Feasible,com.google.ar.core.ak,onClosed,2,com.google.ar.core.ak->onClosed -> com.google.ar.core.SharedCamera->e -> com.google.ar.core.SharedCamera->onDeviceClosed,2
com.google.ar.core.SharedCamera->onDeviceDisconnected,Camera,Camera,API,Feasible,com.google.ar.core.ak,onDisconnected,2,com.google.ar.core.ak->onDisconnected -> com.google.ar.core.SharedCamera->f -> com.google.ar.core.SharedCamera->onDeviceDisconnected,2
com.google.ar.core.SharedCamera->onDeviceOpened,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,2,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->d -> com.google.ar.core.SharedCamera->onDeviceOpened,2
com.google.ar.core.SharedCamera->setDummyListenerToAvoidImageBufferStarvation,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,2,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->c -> com.google.ar.core.SharedCamera->setDummyListenerToAvoidImageBufferStarvation,2
com.google.ar.core.SharedCamera->setDummyOnImageAvailableListener,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,3,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->c -> com.google.ar.core.SharedCamera->setDummyListenerToAvoidImageBufferStarvation -> com.google.ar.core.SharedCamera->setDummyOnImageAvailableListener,3
com.google.ar.core.SharedCamera->b,Camera,Camera,API,Feasible,com.google.ar.core.ak,onError,1,com.google.ar.core.ak->onError -> com.google.ar.core.SharedCamera->b,1
com.google.ar.core.SharedCamera->c,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,1,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->c,1
com.google.ar.core.SharedCamera->createARDeviceStateCallback,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,createARDeviceStateCallback,0,com.google.ar.core.SharedCamera->createARDeviceStateCallback,0
com.google.ar.core.SharedCamera->createARSessionStateCallback,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,createARSessionStateCallback,0,com.google.ar.core.SharedCamera->createARSessionStateCallback,0
com.google.ar.core.SharedCamera->d,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,1,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->d,1
com.google.ar.core.SharedCamera->e,Camera,Camera,API,Feasible,com.google.ar.core.ak,onClosed,1,com.google.ar.core.ak->onClosed -> com.google.ar.core.SharedCamera->e,1
com.google.ar.core.SharedCamera->f,Camera,Camera,API,Feasible,com.google.ar.core.ak,onDisconnected,1,com.google.ar.core.ak->onDisconnected -> com.google.ar.core.SharedCamera->f,1
com.google.ar.core.SharedCamera->g,Camera,Camera,API,Feasible,com.google.ar.core.an,onActive,1,com.google.ar.core.an->onActive -> com.google.ar.core.SharedCamera->g,1
com.google.ar.core.SharedCamera->getArCoreSurfaces,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getArCoreSurfaces,0,com.google.ar.core.SharedCamera->getArCoreSurfaces,0
com.google.ar.core.SharedCamera->getSurfaceTexture,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,getSurfaceTexture,0,com.google.ar.core.SharedCamera->getSurfaceTexture,0
com.google.ar.core.SharedCamera->h,Camera,Camera,API,Feasible,com.google.ar.core.an,onClosed,1,com.google.ar.core.an->onClosed -> com.google.ar.core.SharedCamera->h,1
com.google.ar.core.SharedCamera->i,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigureFailed,1,com.google.ar.core.an->onConfigureFailed -> com.google.ar.core.SharedCamera->i,1
com.google.ar.core.SharedCamera->j,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,1,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->j,1
com.google.ar.core.SharedCamera->k,Camera,Camera,API,Feasible,com.google.ar.core.an,onReady,1,com.google.ar.core.an->onReady -> com.google.ar.core.SharedCamera->k,1
com.google.ar.core.SharedCamera->l,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,1,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->l,1
com.google.ar.core.SharedCamera->m,Camera,Camera,API,Feasible,com.google.ar.core.ak,onOpened,1,com.google.ar.core.ak->onOpened -> com.google.ar.core.SharedCamera->m,1
com.google.ar.core.SharedCamera->n,Camera,Camera,API,Feasible,com.google.ar.core.an,onConfigured,1,com.google.ar.core.an->onConfigured -> com.google.ar.core.SharedCamera->n,1
com.google.ar.core.SharedCamera->pause,Camera,Camera,API,Feasible,com.google.ar.core.Session,pause,2,com.google.ar.core.Session->pause -> com.google.ar.core.Session->pauseSharedCameraIfInUse -> com.google.ar.core.SharedCamera->pause,2
com.google.ar.core.SharedCamera->setAppSurfaces,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,setAppSurfaces,0,com.google.ar.core.SharedCamera->setAppSurfaces,0
com.google.ar.core.SharedCamera->setCaptureCallback,Camera,Camera,API,Feasible,com.google.ar.core.SharedCamera,setCaptureCallback,0,com.google.ar.core.SharedCamera->setCaptureCallback,0
com.google.ar.core.exceptions.CameraNotAvailableException-><init>,Camera,Camera,API,Feasible,com.google.ar.core.exceptions.CameraNotAvailableException,<init>,0,com.google.ar.core.exceptions.CameraNotAvailableException-><init>,0
androidx.compose.ui.platform.UriHandler->openUri,URI,URI,API,Feasible,androidx.compose.foundation.text.TextLinkScope$$ExternalSyntheticLambda8,invoke,4,androidx.compose.foundation.text.TextLinkScope$$ExternalSyntheticLambda8->invoke -> androidx.compose.foundation.text.TextLinkScope->$r8$lambda$139CQEgFHJ4vW8quOc8FPPxz0CI -> androidx.compose.foundation.text.TextLinkScope->LinksComposables$lambda$19$lambda$14$lambda$13 -> androidx.compose.foundation.text.TextLinkScope->handleLink -> androidx.compose.ui.platform.UriHandler->openUri,4
androidx.compose.ui.platform.AndroidUriHandler-><clinit>,URI,URI,API,Feasible,androidx.compose.ui.platform.AndroidUriHandler,<clinit>,0,androidx.compose.ui.platform.AndroidUriHandler-><clinit>,0
androidx.compose.ui.platform.AndroidUriHandler->openUri,URI,URI,API,Feasible,androidx.compose.ui.platform.AndroidUriHandler,openUri,0,androidx.compose.ui.platform.AndroidUriHandler->openUri,0
androidx.compose.ui.platform.ClipboardExtensions_androidKt->firstUriOrNull,URI,URI,API,Feasible,androidx.compose.ui.platform.ClipboardExtensions_androidKt,firstUriOrNull,0,androidx.compose.ui.platform.ClipboardExtensions_androidKt->firstUriOrNull,0
androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1-><clinit>,URI,URI,API,Feasible,androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1,<clinit>,0,androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1-><clinit>,0
androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1-><init>,URI,URI,API,Feasible,androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1,<clinit>,1,androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1-><clinit> -> androidx.compose.ui.platform.CompositionLocalsKt$LocalUriHandler$1-><init>,1
androidx.compose.ui.platform.CompositionLocalsKt->getLocalUriHandler,URI,URI,API,Feasible,androidx.compose.foundation.text.TextLinkScope$$ExternalSyntheticLambda10,invoke,4,androidx.compose.foundation.text.TextLinkScope$$ExternalSyntheticLambda10->invoke -> androidx.compose.foundation.text.TextLinkScope->$r8$lambda$pC134CeiGs5oGt6GK5naD-fA1ak -> androidx.compose.foundation.text.TextLinkScope->LinksComposables$lambda$20 -> androidx.compose.foundation.text.TextLinkScope->LinksComposables -> androidx.compose.ui.platform.CompositionLocalsKt->getLocalUriHandler,4
androidx.compose.ui.platform.DeviceRenderNode->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.DeviceRenderNode,getCameraDistance,0,androidx.compose.ui.platform.DeviceRenderNode->getCameraDistance,0
androidx.compose.ui.platform.DeviceRenderNode->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.RenderNodeLayer,updateLayerProperties,1,androidx.compose.ui.platform.RenderNodeLayer->updateLayerProperties -> androidx.compose.ui.platform.DeviceRenderNode->setCameraDistance,1
androidx.compose.ui.platform.DeviceRenderNodeData->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.DeviceRenderNodeData,getCameraDistance,0,androidx.compose.ui.platform.DeviceRenderNodeData->getCameraDistance,0
androidx.compose.ui.platform.DeviceRenderNodeData->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.DeviceRenderNodeData,setCameraDistance,0,androidx.compose.ui.platform.DeviceRenderNodeData->setCameraDistance,0
androidx.compose.ui.platform.RenderNodeApi23->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.RenderNodeApi23,getCameraDistance,0,androidx.compose.ui.platform.RenderNodeApi23->getCameraDistance,0
androidx.compose.ui.platform.RenderNodeApi23->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.RenderNodeApi23,setCameraDistance,0,androidx.compose.ui.platform.RenderNodeApi23->setCameraDistance,0
