api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
androidx.compose.ui.graphics.ReusableGraphicsLayerScope->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.node.NodeCoordinator,setMeasureResult$ui_release,4,androidx.compose.ui.node.NodeCoordinator->setMeasureResult$ui_release -> androidx.compose.ui.node.NodeCoordinator->onMeasureResultChanged -> androidx.compose.ui.node.NodeCoordinator->updateLayerParameters -> androidx.compose.ui.graphics.ReusableGraphicsLayerScope->reset -> androidx.compose.ui.graphics.ReusableGraphicsLayerScope->setCameraDistance,4
androidx.compose.ui.graphics.SimpleGraphicsLayerModifier->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.GraphicsLayerElement,update,1,androidx.compose.ui.graphics.GraphicsLayerElement->update -> androidx.compose.ui.graphics.SimpleGraphicsLayerModifier->setCameraDistance,1
androidx.compose.ui.graphics.layer.GraphicsLayer->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayer,getCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayer->getCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsLayer->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.GraphicsLayerOwnerLayer,updateLayerProperties,1,androidx.compose.ui.platform.GraphicsLayerOwnerLayer->updateLayerProperties -> androidx.compose.ui.graphics.layer.GraphicsLayer->setCameraDistance,1
androidx.compose.ui.graphics.layer.GraphicsLayerImpl->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayer,getCameraDistance,1,androidx.compose.ui.graphics.layer.GraphicsLayer->getCameraDistance -> androidx.compose.ui.graphics.layer.GraphicsLayerImpl->getCameraDistance,1
androidx.compose.ui.graphics.layer.GraphicsLayerImpl->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.GraphicsLayerOwnerLayer,updateLayerProperties,2,androidx.compose.ui.platform.GraphicsLayerOwnerLayer->updateLayerProperties -> androidx.compose.ui.graphics.layer.GraphicsLayer->setCameraDistance -> androidx.compose.ui.graphics.layer.GraphicsLayerImpl->setCameraDistance,2
androidx.compose.ui.graphics.layer.GraphicsLayerV23->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayerV23,getCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayerV23->getCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsLayerV23->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayerV23,setCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayerV23->setCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsLayerV29->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayerV29,getCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayerV29->getCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsLayerV29->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayerV29,setCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayerV29->setCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsViewLayer->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsViewLayer,getCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsViewLayer->getCameraDistance,0
androidx.compose.ui.graphics.layer.GraphicsViewLayer->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsViewLayer,setCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsViewLayer->setCameraDistance,0
androidx.compose.ui.input.key.Key$Companion->getCamera-EK5gGoQ,Camera,Camera,API,Feasible,androidx.compose.ui.input.key.Key$Companion,getCamera-EK5gGoQ,0,androidx.compose.ui.input.key.Key$Companion->getCamera-EK5gGoQ,0
androidx.compose.ui.input.key.Key->access$getCamera$cp,Camera,Camera,API,Feasible,androidx.compose.ui.input.key.Key$Companion,getCamera-EK5gGoQ,1,androidx.compose.ui.input.key.Key$Companion->getCamera-EK5gGoQ -> androidx.compose.ui.input.key.Key->access$getCamera$cp,1
